drug,status,n_samples,n_tissues,mse_en,mse_dsen,pct_improvement,alpha_en,alpha_dsen,lamrat_dsen,lambda_en,lambda_dsen
Tanespimycin,success,706,13,0.032192766943185847,0.03019712217644619,6.199047041410239,0.15,0.05,4,0.10751444758884932,0.052624341430855044
VX-702,success,683,12,0.0010850104633299662,0.0010794038291989949,0.5167354896987956,1,0.9000000000000001,0.125,0.009112129457259092,0.045612134802920326
Motesanib,success,706,13,0.0025853382703705284,0.0025791442970410946,0.23958076977470677,0.05,1,2,0.4382238220735148,0.0011730554966762903
KU-55933,success,704,13,0.001872846523039605,0.0018136588027926296,3.1603080935278403,0.05,0.05,4,0.2131537520978346,0.03044244286494682
Elesclomol,success,684,12,0.04164381098360407,0.04025169153509083,3.342920389926226,0.05,0.05,0.5,0.31084948447129834,0.48231655858410516
Afatinib,success,684,12,0.013615164133449112,0.011982746981411926,11.989698662733986,0.6000000000000001,1,2,0.025263706779237526,0.0028975952077072023
Vismodegib,success,685,12,7.019796957893051e-4,6.957908649121814e-4,0.8816253396282311,1,0.15,2,0.00519679804935099,0.011917083030908262
PLX-4720,success,704,13,0.006020055264800596,0.006465345901613511,-7.396786528132719,1,1,1,0.013629610928142992,0.00438115738417513
BX796,success,705,13,0.009381582185963666,0.008792339432508884,6.280846255724136,0.05,0.05,2,0.17416865134025725,0.07076069963632466
NU7441,success,679,12,0.001417297962478735,0.001404833644188388,0.8794423346624974,0.05,0.05,4,0.16679026198518038,0.03854332140549344
SL0101,success,699,13,4.7961390260760974e-4,4.7999124155047616e-4,-0.0786755639932184,1,0.05,0.125,0.004577619087361584,0.7860942955794524
Doramapimod,success,695,13,0.0015103925320342816,0.0015124940770676895,-0.13913899789861114,1,0.05,0.5,0.009135124098790654,0.3716183941235539
JNK Inhibitor VIII,success,705,13,5.924878642822677e-4,5.674287120930692e-4,4.229479403692897,0.05,0.05,4,0.06074377337116274,0.00908845426605612
681640,success,568,10,0.0032250319569006305,0.003170259007136674,1.698369209854133,0.05,0.05,4,0.09535960245820076,0.02768544341367667
Nutlin-3a (-),success,706,13,0.00364171154473289,0.0036368517173642314,0.13344899256745324,1,1,1,0.00812794487144701,0.005044334547520995
PD173074,success,705,13,0.003722894341242287,0.0035164088685581494,5.546369403952405,0.05,1,2,0.22331455157073674,0.0015341606190980104
ZM447439,success,645,12,0.006010726735367794,0.00596300669880996,0.7939145906774185,1,0.05,2,0.008660986228108139,0.06278480647425026
RO-3306,success,706,13,0.0021245063294813927,0.0020400605893271537,3.9748406009622363,0.3,0.1,4,0.0204052872269562,0.010444576441549393
MK-2206,success,642,11,0.016813360765749123,0.016568943342725375,1.4537095018008326,0.1,0.4,4,0.14352382607056968,0.020875831915972955
Palbociclib,success,643,11,0.016870111053852554,0.016985309838132116,-0.6828572966225636,0.1,0.05,0.5,0.07963184976295035,0.25065708586925395
Dactolisib,success,676,12,0.019590301468086387,0.01940370652618408,0.952486321899031,0.05,1,2,0.21784884429856485,0.008215199262862882
Pictilisib,success,675,12,0.02665046142243115,0.025568401551170027,4.06019188227028,0.05,0.05,4,0.4868254981921506,0.22698830025672168
AZD8055,success,675,12,0.015518409783886281,0.014127717013912,8.961567514593687,0.05,0.1,4,0.14809068495653382,0.01828994801726874
PD0325901,success,675,12,0.026554217321891338,0.02523182933980018,4.979954656773035,1,0.05,4,0.016045134429742647,0.05615441003155342
SB590885,success,644,11,0.004655619261284007,0.004984989381970533,-7.074679053451771,1,1,1,0.013655438776371508,0.0037150698931256217
Selumetinib,success,642,11,0.012886004106540977,0.012345170395001773,4.197063007799871,0.1,1,4,0.13194098521376604,0.003842490750901825
